"cluster","treatment","Y","G","R","alpha","beta","gamma_sq","sigma_sq","c1","c2","B","niter","total_cost"
1,1,8.31292254158116,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.90467910745211,15,20,0,5,1,1,20,10,4650,1,3150
1,1,3.2829826962998,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.08331472939659,15,20,0,5,1,1,20,10,4650,1,3150
1,1,5.32879477772978,15,20,0,5,1,1,20,10,4650,1,3150
1,1,6.0341520240685,15,20,0,5,1,1,20,10,4650,1,3150
1,1,5.57669422096831,15,20,0,5,1,1,20,10,4650,1,3150
1,1,6.56187060213347,15,20,0,5,1,1,20,10,4650,1,3150
1,1,5.22233858198815,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.60382170757687,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.18982406047973,15,20,0,5,1,1,20,10,4650,1,3150
1,1,5.37432617194143,15,20,0,5,1,1,20,10,4650,1,3150
1,1,5.82687045571328,15,20,0,5,1,1,20,10,4650,1,3150
1,1,3.34563170656945,15,20,0,5,1,1,20,10,4650,1,3150
1,1,7.09632237285538,15,20,0,5,1,1,20,10,4650,1,3150
1,1,6.88033503986876,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.1575586034107,15,20,0,5,1,1,20,10,4650,1,3150
1,1,6.83191788190102,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.95447311906929,15,20,0,5,1,1,20,10,4650,1,3150
1,1,4.07069866116989,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.738145297106333,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.23805522075765,15,20,0,5,1,1,20,10,4650,1,3150
2,0,-0.310627597145803,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.7310664096902,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.00283465392996,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.829866755929415,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.72428619457586,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.799542645842428,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.445146146544638,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.0955043902035375,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.538709828367332,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.0834220810076,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.135678054848854,15,20,0,5,1,1,20,10,4650,1,3150
2,0,2.9048966056818,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.96047255761372,15,20,0,5,1,1,20,10,4650,1,3150
2,0,0.0184559228659218,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.00998921079584,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.64177711067756,15,20,0,5,1,1,20,10,4650,1,3150
2,0,1.21557857062538,15,20,0,5,1,1,20,10,4650,1,3150
2,0,-0.664261787915983,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.521526903411949,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.37348573551948,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.881302464719956,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.68392175563729,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.59461649471546,15,20,0,5,1,1,20,10,4650,1,3150
3,0,0.607095990574673,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-2.48648646871648,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.60320432316613,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.570472552171441,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.00045679095287,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.348231588517523,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.393769088818255,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-2.15989722516452,15,20,0,5,1,1,20,10,4650,1,3150
3,0,0.0747422255047233,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-2.54040716371197,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.97088353574378,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.443453731715217,15,20,0,5,1,1,20,10,4650,1,3150
3,0,0.40613002601495,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-1.4526796112802,15,20,0,5,1,1,20,10,4650,1,3150
3,0,-0.919673939780738,15,20,0,5,1,1,20,10,4650,1,3150
4,0,0.300724558192281,15,20,0,5,1,1,20,10,4650,1,3150
4,0,-0.453971253633437,15,20,0,5,1,1,20,10,4650,1,3150
