"iter","beta_estimate","beta_se","beta_lower","beta_upper","random_effect_variance","exp_beta_estimate","exp_beta_lower","exp_beta_upper"
1,4.98189010710295,0.367241247841349,4.26209726133391,5.701682952872,0.483108032164422,145.749603833434,70.9586463325921,299.370804201007
2,6.19895752684807,0.716288405860242,4.795032251362,7.60288280233415,1.86142155631534,492.23563110184,120.908281176918,2003.96460993179
3,5.15165038012471,0.462268727703236,4.24560367382637,6.05769708642306,0.761092767526005,172.716302781116,69.7978825833684,427.390060303726
4,4.68198109526707,0.439480726302253,3.82059887171466,5.54336331881949,0.693586357809419,107.983786976504,45.631527570828,255.536004831045
5,4.97148564032095,0.501389414212686,3.98876238846408,5.95420889217781,0.827020055722032,144.241018543666,53.9880317890642,385.371919313579
6,4.8524310250483,0.427003320291648,4.01550451727667,5.68935753281993,0.635427037036421,128.051307704852,55.4512644673994,295.703579754483
7,6.06555761037505,0.63500193563782,4.82095381652492,7.31016140422517,1.45000092582507,430.762808527468,124.083387139466,1495.41853658389
8,5.04863387730583,0.377004423370661,4.30970520749934,5.78756254711233,0.479213287949817,155.809464182262,74.418547676679,326.216916167676
9,5.60199847410294,0.410993843030001,4.79645054176414,6.40754640644174,0.597907012474697,270.967387985912,121.079885895547,606.40398534277
10,4.55337083609678,0.689500731466181,3.20194940242306,5.90479226977049,1.74646081447279,94.9519368894688,24.5804006151142,366.791024289406
