"iter","beta_estimate","beta_se","beta_lower","beta_upper","random_effect_variance"
1,2.11598580443341,0.468301853847474,1.19811417089236,3.03385743797446,0.267031772701275
2,0.857745715787938,0.530082796169956,-0.181216564705176,1.89670799628105,0.37507435575128
3,1.85423885289878,0.365213983215549,1.1384194457963,2.57005826000126,0.162885689415913
4,2.43236263954012,0.821570160104885,0.822085125734549,4.0426401533457,0.542056600408492
5,2.32753651218543,0.582613292053021,1.18561445976151,3.46945856460935,0.273458963203492
6,2.63719340663359,0.815120740212018,1.03955675581804,4.23483005744915,0.499675296648166
7,2.63198095696391,1.08780892393046,0.499875466060204,4.76408644786761,2.61322088167912
8,1.64616992574814,0.284017614949059,1.08949540044799,2.2028444510483,0.0958372481034802
9,1.59678879745081,0.233090135461172,1.13993213194691,2.05364546295471,0.0658270341212562
10,0.652005169353533,1.15065052338274,-1.60326985647664,2.90728019518371,1.70097947891817
11,1.82450789363848,0.610131547916911,0.628650059721335,3.02036572755563,0.329907863363872
12,-0.228533415482566,0.462654892708144,-1.13533700519053,0.678270174225395,0.24465586429115
13,0.290365321780848,0.548649167277997,-0.784987046084026,1.36571768964572,0.332472187963292
14,0.889807205941832,0.581646611326673,-0.250220152258446,2.02983456414211,0.277353912227693
15,1.83714609516192,0.871934611160914,0.12815425728653,3.54613793303731,1.02417295897473
16,0.694779996236113,0.501955058825927,-0.289051919062705,1.67861191153493,0.302600724963257
17,1.41928256128884,0.479683462574401,0.479102974643015,2.35946214793467,0.275090680156301
18,3.15716844983959,0.414015335731225,2.34569839180639,3.96863850787279,0.204970006745165
19,1.53759947274603,0.837070560461359,-0.10305882575823,3.1782577712503,0.593801553984277
20,0.10524619125881,0.485064403607592,-0.84548003981207,1.05597242232969,0.184906669810423
21,1.73871856519393,0.801638145527662,0.167507799959716,3.30992933042815,0.50659004538681
22,1.95910242591638,0.618660783009416,0.746527291217922,3.17167756061483,0.448685508421941
23,1.77194726215836,1.26382709559701,-0.705153845211786,4.24904836952851,1.65011505708682
24,0.625383382099626,0.55378067383621,-0.460026738619346,1.7107935028186,0.376060568658152
25,1.74837132908852,0.851165948165126,0.0800860706848763,3.41665658749217,0.95444189228922
26,1.46747745563439,0.606654770348893,0.278434105750561,2.65652080551822,0.435665048519842
27,2.42418186381461,0.435248051892281,1.57109568210574,3.27726804552348,0.229428479654347
